247,Bryan Thompson (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
248,Dylan Drummond (DET),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
249,Tre'Shaun Harrison (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
250,Ryan Miller (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
251,Sean Ryan (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
252,Tyrell Shavers (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
253,Jalen Cropper (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
254,Terrell Bynum (LAC),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
255,Shaquan Davis (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
256,Cephus Johnson III (TB),0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
257,Malik Knowles (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
258,Thayer Thomas (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
259,Jared Wayne (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
260,Grant DuBose (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
261,Colton Dowell (TEN),0,1,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
262,Matt Landers (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
263,Elijah Cooks (JAC),0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
264,Kazmeir Allen (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
265,Shedrick Jackson (CIN),0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
266,Chase Cota (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
267,T.J. Luther (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
268,Zavier Scott (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
269,Xavier Smith (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
270,Brycen Tremayne (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
271,Isaiah Winstead (SF),0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
272,Daniel Arias (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
273,Duece Watts (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
274,Dax Milne (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
275,Austin Watkins Jr. (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
276,Jaelon Darden (CLE),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
277,Chris Blair (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
278,Cornell Powell (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
