95,John Wolford (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
96,Easton Stick (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
97,Jarrett Stidham (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
98,Alex McGough (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
99,Brandon Allen (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
100,AJ McCarron (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
101,Matt Barkley (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
102,Brett Smith (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
103,Marcus Mariota (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
104,Carson Wentz (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
105,Jeff Driskel (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
106,Jacoby Brissett (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
107,Sean Mannion (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
108,Trevor Siemian (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
109,Kyle Trask (TB),0,1,0.0,0,0.0,0,0,0,1,-1,0,0,2,-0.1,-0.1,0.2%
110,Teddy Bridgewater (DET),0,0,0,0,0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.1%
111,Nathan Peterman (CHI),0,0,0,0,0,0,0,1,2,-4,0,0,1,-0.4,-0.4,0.0%
112,Sam Darnold (SF),2,3,66.7,7,2.3,0,0,0,8,-8,0,0,5,-0.6,-0.1,0.4%
113,Kyle Allen (BUF),0,0,0,0,0,0,0,0,9,-9,0,0,5,-0.9,-0.2,0.1%
114,Blaine Gabbert (KC),3,5,60.0,31,6.2,0,2,0,2,-1,0,0,1,-0.9,-0.9,0.1%
